"YEAR","RACE","SEX","SITE","EVENT_TYPE","COUNT","POPULATION"
"2012","American Indian/Alaska Native","Male and Female","Melanomas of the Skin","Incidence","161",4393751
"2012","American Indian/Alaska Native","Male and Female","Melanomas of the Skin","Mortality","19",4393751
"2013","American Indian/Alaska Native","Male and Female","Melanomas of the Skin","Incidence","176",4453014
"2013","American Indian/Alaska Native","Male and Female","Melanomas of the Skin","Mortality","16",4453014
"2014","American Indian/Alaska Native","Male and Female","Melanomas of the Skin","Incidence","162",4515532
"2014","American Indian/Alaska Native","Male and Female","Melanomas of the Skin","Mortality","~",4515532
"1999","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",2741025
"1999","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",2832761
"2000","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",2895579
"2000","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",2993321
"2001","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",3084418
"2001","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",3097333
"2002","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",3186407
"2002","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",3202471
"2003","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",3312011
"2003","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",3312011
"2004","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",3429452
"2004","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",3429452
"2005","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",3554356
"2005","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",3554356
"2006","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","18",3687683
"2006","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",3687683
"2007","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",3829898
"2007","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",3829898
"2008","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",3983929
"2008","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",3983929
"2009","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",4141215
"2009","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",4141215
"2010","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",4273059
"2010","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",4273059
"2010-2014","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","60",21709391
"2010-2014","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","44",21967987
"2011","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",4282122
"2011","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",4332631
"2012","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",4393751
"2012","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",4393751
"2013","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",4453014
"2013","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",4453014
"2014","American Indian/Alaska Native","Male and Female","Mesothelioma","Incidence","~",4515532
"2014","American Indian/Alaska Native","Male and Female","Mesothelioma","Mortality","~",4515532
"1999","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","139",2741025
"1999","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","200",2832761
"2000","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","146",2895579
"2000","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","178",2993321
"2001","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","193",3084418
"2001","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","186",3097333
"2002","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","220",3186407
"2002","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","175",3202471
"2003","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","224",3312011
"2003","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","172",3312011
"2004","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","278",3429452
"2004","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","176",3429452
"2005","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","253",3554356
"2005","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","178",3554356
"2006","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","255",3687683
"2006","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","211",3687683
"2007","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","277",3829898
"2007","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","201",3829898
"2008","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","301",3983929
"2008","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","202",3983929
"2009","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","282",4141215
"2009","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","234",4141215
"2010","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","335",4273059
"2010","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","236",4273059
"2010-2014","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","1691",21709391
"2010-2014","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","1146",21967987
"2011","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","348",4282122
"2011","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","206",4332631
"2012","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","381",4393751
"2012","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","236",4393751
"2013","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","327",4453014
"2013","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","237",4453014
"2014","American Indian/Alaska Native","Male and Female","Miscellaneous","Incidence","316",4515532
"2014","American Indian/Alaska Native","Male and Female","Miscellaneous","Mortality","231",4515532
"1999","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","84",2741025
"1999","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","43",2832761
"2000","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","64",2895579
"2000","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","37",2993321
"2001","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","97",3084418
"2001","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","49",3097333
"2002","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","93",3186407
"2002","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","42",3202471
"2003","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","80",3312011
"2003","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","54",3312011
"2004","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","108",3429452
"2004","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","52",3429452
"2005","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","88",3554356
"2005","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","61",3554356
"2006","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","104",3687683
"2006","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","48",3687683
"2007","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","96",3829898
"2007","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","47",3829898
"2008","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","97",3983929
"2008","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","44",3983929
"2009","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","128",4141215
"2009","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","57",4141215
"2010","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","98",4273059
"2010","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","47",4273059
"2010-2014","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","620",21709391
"2010-2014","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","266",21967987
"2011","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","110",4282122
"2011","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","44",4332631
"2012","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","124",4393751
"2012","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","48",4393751
"2013","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","135",4453014
"2013","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","63",4453014
"2014","American Indian/Alaska Native","Male and Female","Myeloma","Incidence","160",4515532
"2014","American Indian/Alaska Native","Male and Female","Myeloma","Mortality","64",4515532
"1999","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","16",2741025
"1999","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",2832761
"2000","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","~",2895579
"2000","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",2993321
"2001","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","16",3084418
"2001","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",3097333
"2002","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","16",3186407
"2002","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",3202471
"2003","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","23",3312011
"2003","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",3312011
"2004","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","~",3429452
"2004","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",3429452
"2005","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","17",3554356
"2005","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",3554356
"2006","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","~",3687683
"2006","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",3687683
"2007","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","~",3829898
"2007","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",3829898
"2008","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","23",3983929
"2008","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",3983929
"2009","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","23",4141215
"2009","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",4141215
"2010","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","~",4273059
"2010","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",4273059
"2010-2014","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","91",21709391
"2010-2014","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","35",21967987
"2011","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","19",4282122
"2011","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",4332631
"2012","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","22",4393751
"2012","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",4393751
"2013","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","19",4453014
"2013","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",4453014
"2014","American Indian/Alaska Native","Male and Female","Nasopharynx","Incidence","23",4515532
"2014","American Indian/Alaska Native","Male and Female","Nasopharynx","Mortality","~",4515532
"1999","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","163",2741025
"1999","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","57",2832761
"2000","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","196",2895579
"2000","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","83",2993321
"2001","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","210",3084418
"2001","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","93",3097333
"2002","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","205",3186407
"2002","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","53",3202471
"2003","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","273",3312011
"2003","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","69",3312011
"2004","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","237",3429452
"2004","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","67",3429452
"2005","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","270",3554356
"2005","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","83",3554356
"2006","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","254",3687683
"2006","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","68",3687683
"2007","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","266",3829898
"2007","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","77",3829898
"2008","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","289",3983929
"2008","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","67",3983929
"2009","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","296",4141215
"2009","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","80",4141215
"2010","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","335",4273059
"2010","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","70",4273059
"2010-2014","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","1614",21709391
"2010-2014","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","376",21967987
"2011","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","321",4282122
"2011","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","70",4332631
"2012","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","330",4393751
"2012","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","72",4393751
"2013","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","319",4453014
"2013","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","88",4453014
"2014","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Incidence","322",4515532
"2014","American Indian/Alaska Native","Male and Female","Non-Hodgkin Lymphoma","Mortality","76",4515532
"1999","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",2741025
"1999","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",2832761
"2000","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",2895579
"2000","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",2993321
"2001","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",3084418
"2001","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",3097333
"2002","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",3186407
"2002","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",3202471
"2003","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",3312011
"2003","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",3312011
"2004","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",3429452
"2004","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",3429452
"2005","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",3554356
"2005","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",3554356
"2006","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",3687683
"2006","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",3687683
"2007","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",3829898
"2007","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",3829898
"2008","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",3983929
"2008","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",3983929
"2009","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",4141215
"2009","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",4141215
"2010","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",4273059
"2010","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",4273059
"2010-2014","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","76",21709391
"2010-2014","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",21967987
"2011","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","29",4282122
"2011","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",4332631
"2012","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",4393751
"2012","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",4393751
"2013","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",4453014
"2013","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",4453014
"2014","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Incidence","~",4515532
"2014","American Indian/Alaska Native","Male and Female","Nose, Nasal Cavity and Middle Ear","Mortality","~",4515532
"1999","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","125",2741025
"1999","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","33",2832761
"2000","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","112",2895579
"2000","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","41",2993321
"2001","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","141",3084418
"2001","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","40",3097333
"2002","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","125",3186407
"2002","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","43",3202471
"2003","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","156",3312011
"2003","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","33",3312011
"2004","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","169",3429452
"2004","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","39",3429452
"2005","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","169",3554356
"2005","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","38",3554356
"2006","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","182",3687683
"2006","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","45",3687683
"2007","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","167",3829898
"2007","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","43",3829898
"2008","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","193",3983929
"2008","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","49",3983929
"2009","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","180",4141215
"2009","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","42",4141215
"2010","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","208",4273059
"2010","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","41",4273059
"2010-2014","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","1191",21709391
"2010-2014","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","228",21967987
"2011","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","242",4282122
"2011","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","58",4332631
"2012","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","237",4393751
"2012","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","48",4393751
"2013","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","257",4453014
"2013","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","32",4453014
"2014","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Incidence","256",4515532
"2014","American Indian/Alaska Native","Male and Female","Oral Cavity and Pharynx","Mortality","49",4515532
"1999","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",2741025
"1999","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",2832761
"2000","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",2895579
"2000","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",2993321
"2001","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",3084418
"2001","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",3097333
"2002","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",3186407
"2002","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",3202471
"2003","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",3312011
"2003","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",3312011
"2004","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",3429452
"2004","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",3429452
"2005","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",3554356
"2005","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",3554356
"2006","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",3687683
"2006","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",3687683
"2007","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",3829898
"2007","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",3829898
"2008","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",3983929
"2008","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",3983929
"2009","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",4141215
"2009","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",4141215
"2010","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",4273059
"2010","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",4273059
"2010-2014","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","58",21709391
"2010-2014","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","23",21967987
"2011","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",4282122
"2011","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",4332631
"2012","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",4393751
"2012","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",4393751
"2013","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","18",4453014
"2013","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",4453014
"2014","American Indian/Alaska Native","Male and Female","Oropharynx","Incidence","~",4515532
"2014","American Indian/Alaska Native","Male and Female","Oropharynx","Mortality","~",4515532
"1999","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","~",2741025
"1999","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",2832761
"2000","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","24",2895579
"2000","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",2993321
"2001","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","25",3084418
"2001","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",3097333
"2002","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","29",3186407
"2002","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",3202471
"2003","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","28",3312011
"2003","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",3312011
"2004","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","29",3429452
"2004","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",3429452
"2005","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","18",3554356
"2005","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",3554356
"2006","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","30",3687683
"2006","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",3687683
"2007","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","36",3829898
"2007","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",3829898
"2008","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","27",3983929
"2008","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",3983929
"2009","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","44",4141215
"2009","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",4141215
"2010","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","43",4273059
"2010","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",4273059
"2010-2014","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","191",21709391
"2010-2014","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","53",21967987
"2011","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","35",4282122
"2011","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",4332631
"2012","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","31",4393751
"2012","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",4393751
"2013","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","40",4453014
"2013","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",4453014
"2014","American Indian/Alaska Native","Male and Female","Other Biliary","Incidence","43",4515532
"2014","American Indian/Alaska Native","Male and Female","Other Biliary","Mortality","~",4515532
"1999","American Indian/Alaska Native","Male and Female","Other Digestive Organs","Incidence","~",2741025
"1999","American Indian/Alaska Native","Male and Female","Other Digestive Organs","Mortality","~",2832761
"2000","American Indian/Alaska Native","Male and Female","Other Digestive Organs","Incidence","~",2895579
"2000","American Indian/Alaska Native","Male and Female","Other Digestive Organs","Mortality","~",2993321
"2001","American Indian/Alaska Native","Male and Female","Other Digestive Organs","Incidence","~",3084418
"2001","American Indian/Alaska Native","Male and Female","Other Digestive Organs","Mortality","~",3097333
"2002","American Indian/Alaska Native","Male and Female","Other Digestive Organs","Incidence","~",3186407
"2002","American Indian/Alaska Native","Male and Female","Other Digestive Organs","Mortality","~",3202471
